138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138
139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139
144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144
146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146
150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151
153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153
151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151
148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148
147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147
148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148
146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146
142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142
134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134
131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131
124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124
118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118
116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116
114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114
113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113
115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115
112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112
112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112
116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116
118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118
113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106
111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111
111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111
111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111
107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107
103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103
101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91
90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77
75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144
146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146
148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148
153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153
155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155
154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154
155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155
156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156
156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156
155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155
150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149
143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143
135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135
129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129
122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122
120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116
114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114
116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116
114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114
114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114
113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113
116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116
117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117
115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115
110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
